Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 JX79),2014-Apr-27 14:41 ±   10:39,4.2/0.0109,3.5/0.0089,8.67,8.64,13.3,28.5,3,APO*
(2014 US7),2014-Oct-17 13:46 ±,4.2/0.0109,4.2/0.0108,8.61,8.58,774,26.4,6,ATE*
(2015 AO43),2015-Jan-13 03:39 ±,4.3/0.0110,4.3/0.0110,10.43,10.40,1.7e+03,26.4,4,APO*
(2014 OY391),2014-Jul-15 08:54 ±   12:33,4.3/0.0110,3.6/0.0092,13.88,13.86,38.9,26.0,2,APO*
(2014 YE42),2015-Jan-03 15:00 ±,4.3/0.0110,4.3/0.0110,13.99,13.98,1.22e+03,23.4,9,APO*
(2014 UZ175),2014-Oct-23 07:46 ±,4.3/0.0110,4.3/0.0110,6.58,6.54,465,27.9,3,APO*
(2015 CL),2015-Feb-08 22:39 ±,4.3/0.0111,4.3/0.0111,14.51,14.49,1.76e+03,25.4,3,ATE*
(2014 JW55),2014-May-13 17:04 ±,4.3/0.0111,4.3/0.0110,15.52,15.50,259,26.4,3,APO*
(2015 EG),2015-Mar-05 03:21 ±,4.4/0.0112,4.3/0.0112,9.24,9.21,1.02e+03,25.8,3,ATE*
(2014 SB145),2014-Oct-06 02:41 ±,4.4/0.0113,4.4/0.0112,7.01,6.98,447,26.3,8,APO*
(2014 MT41),2014-Jun-21 17:21 ±   00:01,4.4/0.0113,4.4/0.0112,6.90,6.87,301,26.5,3,AMO*
(2014 WY119),2014-Nov-26 12:47 ±,4.4/0.0113,4.4/0.0113,4.74,4.69,1.23e+03,26.3,4,APO*
(2014 WS7),2014-Nov-21 19:51 ±,4.4/0.0113,4.4/0.0113,8.11,8.08,746,27.3,2,APO*
(2015 BD511),2015-Jan-30 00:48 ±,4.5/0.0115,4.4/0.0114,19.22,19.21,616,26.9,4,APO*
(2014 TV),2014-Oct-18 11:42 ±,4.5/0.0115,4.5/0.0115,12.19,12.17,8.85e+03,24.4,14,APO*
(2014 TM),2014-Oct-05 15:44 ±,4.5/0.0115,4.5/0.0115,6.76,6.72,498,26.2,5,APO*
(2014 YA9),2014-Dec-16 00:17 ±,4.5/0.0116,4.5/0.0116,9.42,9.39,2.75e+03,24.5,9,APO*
(2014 MB6),2014-Jun-16 02:12 ±,4.6/0.0119,4.6/0.0118,9.89,9.87,956,26.2,4,APO*
(2015 AF44),2015-Jan-12 03:50 ±,4.6/0.0119,4.6/0.0119,11.45,11.43,965,25.4,6,APO*
(2014 HH196),2014-May-04 17:14 ±   20:57,4.7/0.0120,2.7/0.0070,16.19,16.18,6.63,28.2,4,APO*
(2014 QO295),2014-Aug-31 15:47 ±   00:02,4.7/0.0122,4.7/0.0120,10.03,10.00,119,26.8,2,APO*
(2015 AK45),2015-Jan-26 21:12 ±,4.7/0.0122,4.7/0.0122,8.60,8.57,2.15e+04,26.4,11,APO*
(2014 UJ115),2014-Oct-21 06:10 ±   00:02,4.8/0.0122,4.7/0.0121,12.37,12.35,213,26.5,2,APO*
(2014 UA176),2014-Nov-06 12:10 ±,4.8/0.0123,4.8/0.0123,9.47,9.44,690,26.7,7,APO*
(2008 CQ),2015-Jan-31 01:20 ± 2_05:21,4.8/0.0124,4.4/0.0113,11.07,11.05,1.57e+04,25.4,9,APO*
(2014 YV9),2014-Dec-29 04:20 ±,4.9/0.0125,4.8/0.0124,9.50,9.48,547,26.6,4,APO*
(2011 TB4),2014-Oct-09 21:45 ±,4.9/0.0125,4.9/0.0125,13.48,13.47,1.72e+05,25.4,14,APO*
(2015 DZ198),2015-Feb-20 09:39 ±,5.0/0.0128,5.0/0.0127,9.48,9.46,508,24.7,5,APO*
